document_id,firm_id,time
5521507.F,003169,2014
5646360.F,003169,2014
5849074.F,003169,2015
5949626.F,003169,2015
5706372.F,003169,2015
5786135.F,003169,2015
8909152.F,003169,2016
6072911.F,003169,2016
5997184.F,003169,2016
6383556.F,003169,2016
10749022.F,003169,2017
11055135.F,003169,2017
10417170.F,003169,2017
11319164.F,003169,2017
117989.F,004145,2001
632210.F,004145,2002
610799.F,004145,2002
662015.F,004145,2002
689950.F,004145,2002
758943.F,004145,2003
732722.F,004145,2003
797357.F,004145,2003
836204.F,004145,2003
1004066.F,004145,2004
916517.F,004145,2004
955769.F,004145,2004
877427.F,004145,2004
1148309.F,004145,2005
1099665.F,004145,2005
1050453.F,004145,2005
1198449.F,004145,2005
1350616.F,004145,2006
1298658.F,004145,2006
1454034.F,004145,2006
1399068.F,004145,2006
1742919.F,004145,2007
1527570.F,004145,2007
1665901.F,004145,2007
1599776.F,004145,2007
2071699.F,004145,2008
1881710.F,004145,2008
1993121.F,004145,2008
1813353.F,004145,2008
2182753.F,004145,2009
2316027.F,004145,2009
2492103.F,004145,2009
2683352.F,004145,2009
3035026.F,004145,2010
3660741.F,004145,2010
3223618.F,004145,2010
3425450.F,004145,2010
3950287.F,004145,2011
4214834.F,004145,2011
4155621.F,004145,2011
4713635.F,004145,2011
4982377.F,004145,2012
4920486.F,004145,2012
4866055.F,004145,2012
4785741.F,004145,2012
5197336.F,004145,2013
5127143.F,004145,2013
5056123.F,004145,2013
5267023.F,004145,2013
5502219.F,004145,2014
5340581.F,004145,2014
5433112.F,004145,2014
5602994.F,004145,2014
5669587.F,004145,2015
5829969.F,004145,2015
5899787.F,004145,2015
5760971.F,004145,2015
7450129.F,004145,2016
5977845.F,004145,2016
6055039.F,004145,2016
6130818.F,004145,2016
10161586.F,004145,2017
10722267.F,004145,2017
11003549.F,004145,2017
11186854.F,004145,2017
11470084.F,004145,2018
617494.F,006574,2002
790289.F,006574,2003
758703.F,006574,2003
834338.F,006574,2003
995291.F,006574,2004
912339.F,006574,2004
948222.F,006574,2004
872091.F,006574,2004
1139498.F,006574,2005
1043922.F,006574,2005
1090186.F,006574,2005
1197470.F,006574,2005
1346983.F,006574,2006
1395848.F,006574,2006
1461733.F,006574,2006
1293209.F,006574,2006
1667020.F,006574,2007
1602472.F,006574,2007
1532456.F,006574,2007
1759991.F,006574,2007
2079794.F,006574,2008
1889046.F,006574,2008
2000901.F,006574,2008
1817852.F,006574,2008
2720384.F,006574,2009
2484747.F,006574,2009
2303777.F,006574,2009
2159905.F,006574,2009
3708041.F,006574,2010
3226153.F,006574,2010
3035259.F,006574,2010
3458981.F,006574,2010
4718025.F,006574,2011
4165965.F,006574,2011
4223960.F,006574,2011
3973499.F,006574,2011
4929514.F,006574,2012
4996237.F,006574,2012
4793153.F,006574,2012
4868684.F,006574,2012
5063759.F,006574,2013
5208882.F,006574,2013
5136834.F,006574,2013
5278918.F,006574,2013
5606235.F,006574,2014
5355932.F,006574,2014
5503366.F,006574,2014
5441787.F,006574,2014
5682123.F,006574,2015
5766242.F,006574,2015
5846721.F,006574,2015
7611262.F,006574,2016
6131513.F,006574,2016
5978798.F,006574,2016
6044990.F,006574,2016
11053436.F,006574,2017
10732473.F,006574,2017
10272623.F,006574,2017
10414173.F,006574,2017
799566.F,008512,2003
855426.F,008512,2003
962078.F,008512,2004
1016666.F,008512,2004
921826.F,008512,2004
887676.F,008512,2004
1061750.F,008512,2005
1329829.F,008512,2005
1198614.F,008512,2005
1418518.F,008512,2006
1346445.F,008512,2006
1368623.F,008512,2006
1783894.F,008512,2007
1593188.F,008512,2007
1690003.F,008512,2007
1622634.F,008512,2007
1908504.F,008512,2008
1848471.F,008512,2008
2007729.F,008512,2008
2103112.F,008512,2008
2195947.F,008512,2009
2742580.F,008512,2009
2505226.F,008512,2009
2352036.F,008512,2009
3720744.F,008512,2010
3245443.F,008512,2010
3044094.F,008512,2010
3432054.F,008512,2010
4214071.F,008512,2011
4159871.F,008512,2011
3993004.F,008512,2011
4712562.F,008512,2011
5007952.F,008512,2012
4791014.F,008512,2012
4921947.F,008512,2012
4864269.F,008512,2012
5066449.F,008512,2013
5200223.F,008512,2013
5128802.F,008512,2013
5909050.F,008512,2015
5764028.F,008512,2015
5831785.F,008512,2015
7613698.F,008512,2016
6054963.F,008512,2016
5979922.F,008512,2016
6124625.F,008512,2016
10140429.F,008512,2017
10722265.F,008512,2017
11006251.F,008512,2017
11220312.F,008512,2017
11468092.F,008512,2018
714246.F,009532,2002
767181.F,009532,2003
856466.F,009532,2003
959165.F,009532,2004
923434.F,009532,2004
887724.F,009532,2004
1042952.F,009532,2004
1064654.F,009532,2005
1106321.F,009532,2005
